Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0.73,-0.000176987,-6.76E-05,0.030721802,0.001040331,-0.002726056,7.68E-06,-0.000349061,-0.003246263,-0.001398155,0.489775855,0.321621057,0.000935566,0.030119179,0.375592351,0.459243476,-0.23329863,-0.400830626,0.748
0.74,-0.000181188,-7.19E-05,0.030708516,0.001295564,-0.003258997,4.81E-06,-0.000564212,0.002330988,-0.001147401,-0.854527864,0.579470236,-0.001092055,0.030119179,0.252397597,-0.115418278,-0.348453909,0.090027131,0.748
0.75,-0.000188665,-6.92E-05,0.030715658,0.001557965,-0.003771604,7.08E-06,-0.001014373,-0.001788562,0.002516316,0.280937011,0.1845368,0.00075753,0.030119179,0.454881489,0.275897592,-0.330186069,-0.307625145,0.748
0.76,-0.000193489,-7.17E-05,0.030745014,0.001473889,-0.003872103,7.17E-06,2.01E-05,0.001274424,0.003111258,-0.041933694,-0.138392453,-0.000179734,0.030119179,0.373817295,0.146865845,-0.257947952,0.019880878,0.748
0.77,-0.000195679,-6.43E-05,0.030763482,0.001202919,-0.003542958,6.75E-06,-0.000432567,0.000268138,0.000429921,0.351479122,-0.545746265,0.000343505,0.030119179,0.644856036,0.252236575,-0.381707132,0.13469547,0.748
0.78,-0.00018407,-6.69E-05,0.03073584,0.000855685,-0.003207119,4.97E-06,0.002835698,-0.000761965,-0.005732469,0.366207973,0.254166423,0.000783439,0.030119179,0.11873503,0.053645007,-0.190418929,-0.346156359,0.748
0.79,-0.000170579,-6.72E-05,0.030705882,0.000883015,-0.002990441,5.54E-06,-6.14E-05,0.000702224,-7.49E-06,-0.413554998,-0.284593661,-0.000792117,0.030119179,0.408380061,0.044947095,-0.218649864,0.044589095,0.748
0.8,-0.000170115,-7.10E-05,0.030705036,0.001244404,-0.002821818,6.69E-06,0.000173454,-0.001513631,-0.000155096,-0.168528493,-0.023684304,-0.000254209,0.030119179,0.385644287,0.295790732,-0.307221144,0.004458994,0.748
0.81,-0.000163641,-8.48E-05,0.030698436,0.001616582,-0.002904162,7.90E-06,0.001139559,-0.001359995,-0.001109824,-0.158481796,0.361801508,9.06E-05,0.030119179,0.08561103,0.225319803,-0.187739611,-0.170740604,0.748
0.82,-0.000166131,-9.44E-05,0.030704725,0.001896408,-0.00299829,7.94E-06,-0.001656592,-0.000628127,0.002315035,-0.108068799,-0.260927815,-0.000424997,0.030119179,0.322703779,0.4191055,-0.374848008,-0.075805478,0.748
